Abk,Name
LAC.DE,Latin American Minerals Inc.
LADR.DE,L&G Optical Technology & Photonics ESG Exclusions UCITS ETF
LAW.DE,Lawson Inc.
LAZ.DE,La-Z-Boy Incorporated
LBJ.DE,Lazard Ltd.
LCG.DE,Leaf Clean Energy Company
LCR.DE,Las Vegas Sands Corp.
LEAD.DE,Lyxor MSCI Europe ESG Leaders (DR) UCITS ETF - Acc
LEG.DE,LEG Immobilien SE
LEN.DE,Lenzing Aktiengesellschaft
LEO.DE,LEONI AG
LFIN.DE,Lyxor Index Fund - Lyxor STOXX Europe 600 Financial Services UCITS ETF
LGI.DE,Legal &amp; General Group Plc
LII.DE,Fortress Paper Ltd.
LIN.DE,Linde plc
LIV.DE,"Autoliv, Inc."
LKOR.DE,MULTI-UNITS LUXEMBOURG - Lyxor MSCI Korea UCITS ETF
LLY.DE,Eli Lilly and Company
LMNL.DE,Liberty Silver Corp.
LNN.DE,Lennar Corporation
LRET.DE,Lyxor Index Fund - Lyxor STOXX Europe 600 Retail UCITS ETF
LRND.DE,learned SE
LSAF.DE,Lyxor South Africa (FTSE JSE TOP 40) UCITS ETF
LSI.DE,"CK Life Sciences Int&apos;l., (Holdings) Inc."
LTC.DE,Linear Technology Corporation
LTEC.DE,Logitech International S.A.
LTH.DE,CIMIC Group Limited
LVO.DE,Lyxor S&P 500 VIX Futures Enhanced Roll UCITS ETF
LXU.DE,Tongaat Hulett Limited
LYV.DE,Lundin Petroleum AB (publ)
MAA.DE,MULTI-UNITS LUXEMBOURG - Lyxor EuroMTS Highest Rated Macro-Weighted Govt Bond (DR) UCITS ETF
MAIA.DE,CMB NV
MARA.DE,Marubeni Corporation
MAS.DE,Melco Crown Entertainment Limited
MBB.DE,MBB SE
MBC.DE,MyBucks S.A.
MBG.DE,Mercedes-Benz Group AG
MBI.DE,Mitsubishi Corporation
MCAA.DE,The McClatchy Company
MCHN.DE,Invesco MSCI China All Shares Connect UCITS ETF
MCK.DE,McKesson Corporation
MCN.DE,"NTT DOCOMO, Inc."
MCX.DE,"McCormick &amp; Company, Incorporated"
MCY.DE,"Mercury Systems, Inc."
MDD.DE,Arnoldo Mondadori Editore SpA
MEC.DE,"Meiko Electronics Co.,Ltd."
MED.DE,MEDICLIN Aktiengesellschaft
MFM.DE,Nine Express Limited
MGC.DE,MGIC Investment Corp.
MGI.DE,Meggitt PLC
MGK.DE,Magic Software Enterprises Ltd.
MHI.DE,"MoSys, Inc."
MIR.DE,Serrano Resources Ltd.
MITA.DE,"Mitsumi Electric Co., Ltd."
MJJ.DE,"Mani, Inc."
MJP.DE,HSBC MSCI JAPAN UCITS ETF
MKL.DE,Atea ASA
MKS.DE,AS Merko Ehitus
MLP.DE,MLP SE
MMM.DE,3M Company
MMS.DE,Lyxor Index Fund - Lyxor MSCI EMU Small Cap UCITS ETF
MMT.DE,Métropole Télévision SA
